,empresas,score,score_cualitativo,año
0,ACS,68.12,68.75,2017
1,ACS,76.56,90.62,2018
2,ACS,87.5,90.62,2019
3,ACS,55.06,62.5,2020
4,ACS,76.56,68.75,2021
5,Acciona,37.5,46.88,2017
6,Acciona,75.0,81.25,2018
7,Acciona,82.5,84.38,2019
8,Acciona,76.56,90.62,2020
9,Acciona,70.31,84.38,2021
10,Ferrovial,32.06,31.25,2017
11,Ferrovial,50.69,53.12,2018
12,Ferrovial,36.58,34.38,2019
13,Ferrovial,28.12,31.25,2020
14,Ferrovial,36.66,34.38,2021
15,Fluidra,33.53,37.5,2017
16,Fluidra,28.26,31.25,2018
17,Fluidra,39.28,56.25,2019
18,Fluidra,51.78,68.75,2020
19,Fluidra,54.39,62.5,2021
20,Sacyr,64.06,75.0,2017
21,Sacyr,51.56,62.5,2018
22,Sacyr,59.38,65.62,2019
23,Sacyr,66.69,78.12,2020
24,Sacyr,76.56,93.75,2021
25,Acciona Energías,0.0,0.0,2017
26,Acciona Energías,0.0,0.0,2018
27,Acciona Energías,0.0,0.0,2019
28,Acciona Energías,24.0,40.0,2020
29,Acciona Energías,44.0,60.0,2021
30,Enagas,45.76,60.0,2017
31,Enagas,56.67,76.0,2018
32,Enagas,46.72,60.0,2019
33,Enagas,55.04,68.0,2020
34,Enagas,62.56,76.0,2021
35,Endesa,49.44,52.0,2017
36,Endesa,88.27,92.0,2018
37,Endesa,82.13,100.0,2019
38,Endesa,69.87,84.0,2020
39,Endesa,67.47,84.0,2021
40,Iberdrola,54.67,76.0,2017
41,Iberdrola,57.33,68.0,2018
42,Iberdrola,51.47,52.0,2019
43,Iberdrola,59.47,76.0,2020
44,Iberdrola,79.2,100.0,2021
45,Naturgy,38.67,44.0,2017
46,Naturgy,24.0,40.0,2018
47,Naturgy,44.0,60.0,2019
48,Naturgy,48.69,68.0,2020
49,Naturgy,73.33,100.0,2021
50,Red Eléctrica,62.56,52.0,2017
51,Red Eléctrica,65.33,76.0,2018
52,Red Eléctrica,89.92,100.0,2019
53,Red Eléctrica,54.88,52.0,2020
54,Red Eléctrica,63.73,68.0,2021
55,Solaria,0.0,0.0,2017
56,Solaria,0.0,0.0,2018
57,Solaria,0.0,0.0,2019
58,Solaria,10.67,16.0,2020
59,Solaria,24.53,24.0,2021
60,Acerinox,31.25,31.25,2017
61,Acerinox,12.5,12.5,2018
62,Acerinox,21.88,21.88,2019
63,Acerinox,49.38,70.31,2020
64,Acerinox,44.17,68.75,2021
65,ArcelorMittal,32.81,43.75,2017
66,ArcelorMittal,17.19,25.0,2018
67,ArcelorMittal,35.42,57.81,2019
68,ArcelorMittal,30.73,45.31,2020
69,ArcelorMittal,57.03,81.25,2021
70,Aena,52.02,76.72,2017
71,Aena,56.06,60.05,2018
72,Aena,22.72,26.72,2019
73,Aena,47.72,70.05,2020
74,Aena,37.26,50.06,2021
75,IAG,41.09,49.99,2017
76,IAG,40.03,56.72,2018
77,IAG,31.4,36.73,2019
78,IAG,42.73,50.06,2020
79,IAG,42.73,50.06,2021
80,Amadeus,41.94,54.84,2017
81,Amadeus,45.45,54.84,2018
82,Amadeus,41.94,54.84,2019
83,Amadeus,52.69,62.91,2020
84,Amadeus,33.34,43.55,2021
85,Indra,49.46,62.91,2017
86,Indra,58.57,62.91,2018
87,Indra,54.67,62.91,2019
88,Indra,66.66,70.97,2020
89,Indra,46.41,37.09,2021
90,Cellnex,0.0,0.0,2017
91,Cellnex,0.0,0.0,2018
92,Cellnex,0.0,0.0,2019
93,Cellnex,78.1,88.09,2020
94,Cellnex,71.43,90.48,2021
95,Telefonica,50.8,38.1,2017
96,Telefonica,28.57,11.9,2018
97,Telefonica,15.87,23.81,2019
98,Telefonica,16.66,0.0,2020
99,Telefonica,30.95,11.9,2021
100,Colonial,30.27,40.79,2017
101,Colonial,25.0,27.63,2018
102,Colonial,57.64,69.74,2019
103,Colonial,77.64,89.48,2020
104,Colonial,57.9,68.42,2021
105,Merlin Properties,39.48,50.0,2017
106,Merlin Properties,30.27,30.27,2018
107,Merlin Properties,34.09,32.9,2019
108,Merlin Properties,9.21,9.21,2020
109,Merlin Properties,64.48,80.27,2021
110,Grifols,40.5,45.45,2017
111,Grifols,42.58,45.45,2018
112,Grifols,44.21,63.63,2019
113,Grifols,80.57,99.99,2020
114,Grifols,76.77,81.81,2021
115,Rovi,36.36,36.36,2017
116,Rovi,31.81,45.45,2018
117,Rovi,18.18,18.18,2019
118,Rovi,18.18,18.18,2020
119,Rovi,49.99,63.63,2021
120,Inditex,78.07,94.22,2017
121,Inditex,23.56,26.92,2018
122,Inditex,58.36,67.3,2019
123,Inditex,60.38,65.38,2020
124,Inditex,72.97,67.3,2021
125,Logista,44.64,60.71,2017
126,Logista,37.5,53.57,2018
127,Logista,40.0,53.57,2019
128,Logista,46.76,62.5,2020
129,Logista,64.24,66.07,2021
130,Melia,54.05,61.55,2017
131,Melia,53.47,69.24,2018
132,Melia,16.45,15.4,2019
133,Melia,20.77,23.08,2020
134,Melia,37.7,46.17,2021
135,Repsol,23.44,35.94,2017
136,Repsol,63.5,94.75,2018
137,Repsol,56.0,80.69,2019
138,Repsol,42.97,71.88,2020
139,Repsol,50.67,68.75,2021
140,BBVA,23.44,27.77,2017
141,BBVA,22.52,27.77,2018
142,BBVA,29.18,38.89,2019
143,BBVA,32.4,47.22,2020
144,BBVA,84.11,99.99,2021
145,Banco Sabadell,0.0,0.0,2017
146,Banco Sabadell,0.0,0.0,2018
147,Banco Sabadell,0.0,0.0,2019
148,Banco Sabadell,12.96,19.45,2020
149,Banco Sabadell,67.58,72.22,2021
150,Banco Santander,8.33,16.66,2017
151,Banco Santander,8.33,16.66,2018
152,Banco Santander,58.33,63.88,2019
153,Banco Santander,54.16,63.88,2020
154,Banco Santander,63.88,83.33,2021
155,Bankinter,19.44,27.77,2017
156,Bankinter,54.62,69.44,2018
157,Bankinter,42.59,55.55,2019
158,Bankinter,87.03,99.99,2020
159,Bankinter,67.59,88.88,2021
160,CaixaBank,0.0,0.0,2017
161,CaixaBank,67.59,88.88,2018
162,CaixaBank,12.96,19.45,2019
163,CaixaBank,54.62,69.44,2020
164,CaixaBank,24.07,30.55,2021
165,Unicaja,0.0,0.0,2017
166,Unicaja,8.33,16.66,2018
167,Unicaja,19.44,27.77,2019
168,Unicaja,0.0,0.0,2020
169,Unicaja,54.62,69.44,2021
170,Mapfre,35.83,35.0,2017
171,Mapfre,70.18,80.0,2018
172,Mapfre,79.26,100.0,2019
173,Mapfre,37.69,50.0,2020
174,Mapfre,70.83,85.0,2021
