tema;variable;type
Environmental Reporting;external_audit;cualitativo
Environmental Policy & Management Systems;recognized_env_standard;cualitativo
Operational Eco-Efficiency;%_renewable_energy;cuantitativo
Climate Strategy;climate_strategy;cualitativo
Biodiversity;biodiversity_commitment;cualitativo
Product Stewardship;economy_circular;cualitativo
Fleet Management;electric_vehicles;cualitativo
Decarbonization Strategy;decarbonization_strategy;cualitativo
Mineral Waste Management;ard_management;cualitativo
Resource Conservation & Resource Efficiency;green_buildings;cualitativo
Operational Eco-Efficiency;energy_management;cualitativo
Water Related Risks;water_management;cualitativo
Packaging;%_recycled_waste;cuantitativo
Water Related Risks;%_recycled_water;cuantitativo
Food Loss & Waste;food_loss_waste;cualitativo
Packaging;%_recycled_haz_waste;cuantitativo
Packaging;%_recycled_nonhaz_waste;cuantitativo
Packaging;waste_management;cualitativo
Climate Strategy;2030_commitment;cualitativo
Packaging;packaging;cualitativo
Product Stewardship;product_stewardship;cualitativo
Circular Fashion;circular_fashion;cualitativo
Fleet Management;fleet_management;cualitativo
Fleet Management;fuel_efficiency;cualitativo
Building Materials;building_materials;cualitativo
Resource Conservation & Resource Efficiency;resource_efficiency;cualitativo
Climate Strategy;%_reduction_co2_2030;cuantitativo